id_r,id_q,r_scale,q_scale,success_rate,mean_steps_success,mean_rmse_gnss_xy,mean_rmse_ekf_xy,mean_smoothness_xy,mean_theta_err,cost_score,stage,quality_score
3,4,0.3,1.225,1,573,0.715311302257669,0.164347734292747,0.0650976288315588,0.147007401867381,0.203406311591682,fine,0.830974534841315
3,5,0.3,1.26666666666667,1,594.333333333333,0.712656435449115,0.167531181346726,0.0636626705783158,0.13125875783194,0.205728783693715,fine,0.829373913540099
3,6,0.3,1.30833333333333,1,562,0.715725252131356,0.16327309952053,0.0646280192378788,0.13277136323521,0.202049911063258,fine,0.831912211628103
3,7,0.3,1.35,1,569.333333333333,0.714610475507298,0.167519167041844,0.0640346069530783,0.131773234308419,0.205939931213691,fine,0.829228698807222
3,8,0.3,1.39166666666667,1,560.333333333333,0.694943131483846,0.160704458851198,0.0641153361964598,0.119376355633778,0.199173660569074,fine,0.833907575592884
3,9,0.3,1.43333333333333,1,582.333333333333,0.703954785278526,0.18134133653627,0.0625121198131271,0.159735110630077,0.218848608424146,fine,0.820446438621203
4,1,0.35,1.1,1,580.333333333333,0.715860767586438,0.173578888828116,0.0685210276455738,0.127238747813525,0.214691505415461,fine,0.82325429587817
4,2,0.35,1.14166666666667,1,572.666666666667,0.713870974969131,0.170730194416283,0.0683029869113274,0.119922596081539,0.211711986563079,fine,0.825278623211789
4,3,0.35,1.18333333333333,1,583.666666666667,0.717418113548598,0.176306553772407,0.0677997284238221,0.137772765779661,0.2169863908267,fine,0.821701875664114
4,4,0.35,1.225,1,574.333333333333,0.700616235442684,0.171347959266533,0.0669560665402183,0.125137408994215,0.211521599190664,fine,0.825408313535667
4,5,0.35,1.26666666666667,1,580.333333333333,0.704814184820888,0.175128723711268,0.0661033172908278,0.146187856680749,0.214790714085765,fine,0.823187062927614
4,6,0.35,1.30833333333333,1,571,0.707187830155713,0.158066044646927,0.0662064573406859,0.142210474542174,0.197789919051339,fine,0.834870943639273
4,7,0.35,1.35,1,565.666666666667,0.70556617004842,0.171009115430415,0.0653376508396418,0.141078605101675,0.2102117059342,fine,0.826301708285055
4,8,0.35,1.39166666666667,1,567.666666666667,0.71151333641186,0.178904505680236,0.0653277532351258,0.128335071996506,0.218101157621312,fine,0.820949880675579
4,9,0.35,1.43333333333333,1,590,0.711748201855159,0.173305755513063,0.064000440467073,0.133999979984372,0.211706019793307,fine,0.825282687108033
5,1,0.4,1.1,1,585,0.698158365454365,0.16311424290445,0.0700189349148479,0.130650532617769,0.205125603853358,fine,0.829789025146031
5,2,0.4,1.14166666666667,1,589.666666666667,0.703691278916374,0.172098583260787,0.0691684305242356,0.134125122827755,0.213599641575329,fine,0.823994969792457
5,3,0.4,1.18333333333333,1,577,0.709490223918639,0.169794536799991,0.0691103705893434,0.115799780593215,0.211260759153597,fine,0.825586061830963
5,4,0.4,1.225,1,589.333333333333,0.709858335391292,0.174911569859675,0.0675529490010336,0.130448077906032,0.215443339260295,fine,0.822745057460752
5,5,0.4,1.26666666666667,1,593.333333333333,0.713207363622745,0.17074488510013,0.0686337297116007,0.128995508936019,0.21192512292709,fine,0.825133484802064
5,6,0.4,1.30833333333333,1,575,0.713346473745915,0.168109485354927,0.0680578126877436,0.120453422430535,0.208944172967573,fine,0.827168054869993
5,7,0.4,1.35,1,571,0.702417145062476,0.154359676237728,0.0666189660417219,0.117921446338485,0.194331055862761,fine,0.83728878612942
5,8,0.4,1.39166666666667,1,591.333333333333,0.710113989707195,0.168890485374347,0.0664987211658361,0.120339724386736,0.208789718073849,fine,0.827273747491379
5,9,0.4,1.43333333333333,1,585.666666666667,0.727037926550903,0.17801062746184,0.0663600117952882,0.123583707590594,0.217826634539013,fine,0.821134939603725
6,1,0.45,1.1,1,614.666666666667,0.711266276154419,0.185649818819431,0.0704502495392911,0.144229400147394,0.227919968543006,fine,0.814385322837086
6,2,0.45,1.14166666666667,1,597,0.693248212548971,0.169230222953996,0.0699105349102373,0.131180165079841,0.211176543900138,fine,0.82564346629425
6,3,0.45,1.18333333333333,1,590,0.699269859780706,0.173541365661265,0.0696127324951427,0.133978877869595,0.21530900515835,fine,0.822835999532237
6,4,0.45,1.225,1,590,0.704663584384504,0.170093772024014,0.0702794291665,0.125187030090894,0.212261429523914,fine,0.824904575568923
6,5,0.45,1.26666666666667,1,587.666666666667,0.712695573332737,0.176914479138962,0.0695121377571499,0.129751640097867,0.218621761793252,fine,0.820599164853628
6,6,0.45,1.30833333333333,1,577.333333333333,0.700841115361286,0.175138207075616,0.0685803339044977,0.128725855801251,0.216286407418315,fine,0.822174772241841
6,7,0.45,1.35,1,592.666666666667,0.69670479102921,0.175063223698372,0.0674842155738643,0.125827078115097,0.215553753042691,fine,0.822670324119249
6,8,0.45,1.39166666666667,1,596,0.72036072125354,0.189368934203069,0.0685472880171351,0.148262576596212,0.23049730701335,fine,0.812679551836801
6,9,0.45,1.43333333333333,1,611.333333333333,0.715821005538809,0.184964274808896,0.0665230932376273,0.161284001761773,0.224878130751472,fine,0.816407751019681
7,1,0.5,1.1,1,607.666666666667,0.711688685615398,0.191827147004789,0.0733785116087486,0.120851481299156,0.235854253970038,fine,0.809156902432157
7,2,0.5,1.14166666666667,1,581.666666666667,0.703155869096232,0.181256164472702,0.0731396316504831,0.13148513481146,0.225139943462991,fine,0.816233284479642
7,3,0.5,1.18333333333333,1,596,0.690741787875675,0.182296860353056,0.0708515827307488,0.153554351353155,0.224807809991506,fine,0.816454624017245
7,4,0.5,1.225,1,583.666666666667,0.700532323150341,0.179101542032279,0.0714755688889817,0.136912798506409,0.221986883365668,fine,0.818339389409599
7,5,0.5,1.26666666666667,1,626,0.708086434742574,0.190117753807014,0.0694494881900842,0.153517227245352,0.231787446721065,fine,0.811828374012036
7,6,0.5,1.30833333333333,1,602.333333333333,0.69512456938124,0.170660041490609,0.0694328083749361,0.133075606740599,0.212319726515571,fine,0.824864908264904
7,7,0.5,1.35,1,594,0.707536227187854,0.184845140851369,0.0703531494969145,0.135092218881936,0.227057030549517,fine,0.814958046043032
7,8,0.5,1.39166666666667,1,594,0.709967267015156,0.173816038515564,0.0691940367215748,0.133633799468276,0.215332460548509,fine,0.822820119153796
7,9,0.5,1.43333333333333,1,610.666666666667,0.714232101021509,0.197641407811093,0.0689529783733253,0.173147765976873,0.239013194835088,fine,0.807093906803066
8,1,0.55,1.1,1,598.333333333333,0.71135947751528,0.177781512376304,0.0752282058491369,0.11849329487657,0.222918435885786,fine,0.817716023126006
8,2,0.55,1.14166666666667,1,596,0.700845867716131,0.175507362466804,0.0738631430873608,0.137105008111402,0.21982524831922,fine,0.819789557051623
8,3,0.55,1.18333333333333,1,576.666666666667,0.714741178803391,0.182396924707394,0.0754224252215334,0.136427254075637,0.227650379840314,fine,0.814564159651117
8,4,0.55,1.225,1,591.666666666667,0.70136382419859,0.176085313965609,0.0735984209287246,0.124433980839123,0.220244366522844,fine,0.819507983347268
8,5,0.55,1.26666666666667,1,585.666666666667,0.700093262135759,0.181249638189187,0.0728609017957995,0.134371148941737,0.224966179266667,fine,0.816349068999322
8,6,0.55,1.30833333333333,1,588.666666666667,0.718178857840882,0.176575863388713,0.0729263185096875,0.139412330671973,0.220331654494525,fine,0.819449365520401
8,7,0.55,1.35,1,587.333333333333,0.710290703570071,0.178183743373256,0.0721968641861496,0.119633623622968,0.221501861884946,fine,0.818664327254371
8,8,0.55,1.39166666666667,1,595,0.705146083332197,0.170529605521445,0.0706753647252115,0.129113782790889,0.212934824356572,fine,0.824446606626594
8,9,0.55,1.43333333333333,1,603.666666666667,0.721144735960361,0.179106727534494,0.0705252489285884,0.139687696360023,0.221421876891647,fine,0.81871793760962
9,1,0.6,1.1,1,620,0.714914759904861,0.185030507394551,0.0765411267316725,0.160236417995692,0.230955183433555,fine,0.812377260730694
9,2,0.6,1.14166666666667,1,608.333333333333,0.715768141528569,0.177679860002503,0.0763079377764461,0.148682763058447,0.223464622668371,fine,0.81735097318875
9,3,0.6,1.18333333333333,1,600,0.715307125800012,0.180304290238233,0.0760412336621754,0.136044111187463,0.225929030435538,fine,0.815707904106593
9,4,0.6,1.225,1,611.666666666667,0.715870110100912,0.182718539947671,0.0753221583538096,0.143694527667059,0.227911834959957,fine,0.814390717255861
9,5,0.6,1.26666666666667,1,600,0.714201044613065,0.17305373909861,0.0745347132271776,0.131773216983602,0.217774567034917,fine,0.821170048274894
9,6,0.6,1.30833333333333,1,577.333333333333,0.712837885809938,0.154644797609588,0.0750934083733074,0.119760893581295,0.199700842633573,fine,0.833541133308541
9,7,0.6,1.35,1,584.333333333333,0.695142471508968,0.169465422140957,0.0728327552884331,0.124570234601089,0.213165075314016,fine,0.824290131943635
